book,name,ingredient,unit,amount
Liquid Intelligence,Bobby Burns,blended scotch whiskey,oz,2
Liquid Intelligence,Bobby Burns,sweet vermouth,oz,0.75
Liquid Intelligence,Bobby Burns,Benedictine,oz,0.25
Liquid Intelligence,Bobby Burns,lemon twist,garnish,1
Liquid Intelligence,Hanky Panky,gin,oz,1.5
Liquid Intelligence,Hanky Panky,sweet vermouth,oz,1.5
Liquid Intelligence,Hanky Panky,Fernet Branca,teaspoon,1
Liquid Intelligence,Hanky Panky,orange twist,garnish,1
Liquid Intelligence,Blackthorn,gin,oz,1.5
Liquid Intelligence,Blackthorn,sweet vermouth,oz,0.75
Liquid Intelligence,Blackthorn,sloe gin,oz,0.75
Liquid Intelligence,Blackthorn,orange bitters,dashes,2
Liquid Intelligence,Blackthorn,orange twist,garnish,1
Bitters,Pegu Club,gin,oz,2
Bitters,Pegu Club,lime juice,oz,0.5
Bitters,Pegu Club,orange curacao,oz,0.75
Bitters,Pegu Club,Angostura bitters,dash,1
Bitters,Pegu Club,orange bitters,dash,1
Liquid Intelligence,Brandy Crusta,cognac,oz,2
Liquid Intelligence,Brandy Crusta,lemon juice,oz,0.5
Liquid Intelligence,Brandy Crusta,orange curacao,oz,0.5
Liquid Intelligence,Brandy Crusta,Luxardo Maraschino,oz,0.25
Liquid Intelligence,Brandy Crusta,lemon spiral,garnish,1
Liquid Intelligence,Brandy Crusta,sugar,rim,1
Jeffrey Morgenthaler,Margarita,tequila,oz,2
Jeffrey Morgenthaler,Margarita,triple sec,oz,0.875
Jeffrey Morgenthaler,Margarita,lime juice,oz,0.875
Jeffrey Morgenthaler,Margarita,lemon juice,oz,0.875
Jeffrey Morgenthaler,Margarita,simple syrup,oz,0.67
Jeffrey Morgenthaler,Margarita,salt,rim,1
Liquid Intelligence,Last Word,gin,oz,0.75
Liquid Intelligence,Last Word,Green Chartreuse,oz,0.75
Liquid Intelligence,Last Word,Luxardo Maraschino,oz,0.75
Liquid Intelligence,Last Word,lime juice,oz,0.75
Liquid Intelligence,Last Word,salt,pinch,1
Liquid Intelligence,Corpse Reviver #2,gin,oz,0.75
Liquid Intelligence,Corpse Reviver #2,lemon juice,oz,0.75
Liquid Intelligence,Corpse Reviver #2,Cointreau,oz,0.75
Liquid Intelligence,Corpse Reviver #2,Lillet Blanc,oz,0.75
Liquid Intelligence,Corpse Reviver #2,absinthe,dashes,3
Liquid Intelligence,Corpse Reviver #2,orange twist,garnish,1
Liquid Intelligence,Gimlet,gin,oz,2
Liquid Intelligence,Gimlet,lime juice,oz,0.75
Liquid Intelligence,Gimlet,simple syrup,oz,0.75
Liquid Intelligence,Gimlet,lime wheel,garnish,1
Liquid Intelligence,20th Century Cocktail,gin,oz,1.5
Liquid Intelligence,20th Century Cocktail,lemon juice,oz,0.75
Liquid Intelligence,20th Century Cocktail,creme de cacao,oz,0.75
Liquid Intelligence,20th Century Cocktail,Lillet Blanc,oz,0.75
Liquid Intelligence,Bee's Knees,gin,oz,2
Liquid Intelligence,Bee's Knees,lemon juice,oz,0.75
Liquid Intelligence,Bee's Knees,honey syrup,oz,0.75
Liquid Intelligence,Bee's Knees,lemon wheel,garnish,1
Liquid Intelligence,Southside Cocktail,gin,oz,2
Liquid Intelligence,Southside Cocktail,mint leaves,each,8
Liquid Intelligence,Southside Cocktail,lemon juice,oz,0.75
Liquid Intelligence,Southside Cocktail,simple syrup,oz,0.75
Liquid Intelligence,Southside Cocktail,club soda,oz,2
Liquid Intelligence,Gold Rush,bourbon whiskey,oz,2
Liquid Intelligence,Gold Rush,lemon juice,oz,0.75
Liquid Intelligence,Gold Rush,honey syrup,oz,0.75
