stat,value,year
2UDwolfRe,2255.0,9
2UDwolfFa,5.0,9
grassNum,623.0,10
grassEn,107.6,10
grassRe,129.9,10
grassFa,0.8,10
KDFwolfNum,16.0,10
KDFwolfEn,287.4,10
KDFwolfRe,547.8,10
KDFwolfFa,5.7,10
008rabbitNum,55.0,10
008rabbitEn,47.9,10
008rabbitRe,48.4,10
008rabbitFa,6.8,10
KDFrabbitNum,15.0,10
KDFrabbitEn,231.4,10
KDFrabbitRe,349.1,10
KDFrabbitFa,6.9,10
008wolfNum,1.0,10
008wolfEn,937.1,10
008wolfRe,1035.0,10
008wolfFa,5.0,10
2UDrabbitNum,37.0,10
2UDrabbitEn,64.4,10
2UDrabbitRe,63.2,10
2UDrabbitFa,6.4,10
2UDwolfNum,1.0,10
2UDwolfEn,2070.4,10
2UDwolfRe,2255.0,10
2UDwolfFa,5.0,10
grassNum,676.0,11
grassEn,111.7,11
grassRe,129.6,11
grassFa,0.9,11
KDFwolfNum,16.0,11
KDFwolfEn,281.7,11
KDFwolfRe,547.8,11
KDFwolfFa,5.7,11
008rabbitNum,72.0,11
008rabbitEn,46.6,11
008rabbitRe,48.6,11
008rabbitFa,6.7,11
KDFrabbitNum,18.0,11
KDFrabbitEn,183.3,11
KDFrabbitRe,348.9,11
KDFrabbitFa,7.1,11
008wolfNum,1.0,11
008wolfEn,961.7,11
008wolfRe,1035.0,11
008wolfFa,5.0,11
2UDrabbitNum,46.0,11
2UDrabbitEn,59.3,11
2UDrabbitRe,62.6,11
2UDrabbitFa,6.7,11
2UDwolfNum,1.0,11
2UDwolfEn,2109.8,11
2UDwolfRe,2255.0,11
2UDwolfFa,5.0,11
grassNum,737.0,12
grassEn,112.7,12
grassRe,129.5,12
grassFa,1.1,12
KDFwolfNum,16.0,12
KDFwolfEn,278.7,12
KDFwolfRe,547.8,12
KDFwolfFa,5.7,12
008rabbitNum,82.0,12
008rabbitEn,48.8,12
008rabbitRe,48.7,12
008rabbitFa,6.8,12
KDFrabbitNum,19.0,12
KDFrabbitEn,197.4,12
KDFrabbitRe,349.5,12
KDFrabbitFa,6.9,12
008wolfNum,1.0,12
008wolfEn,1040.8,12
008wolfRe,1035.0,12
008wolfFa,5.0,12
2UDrabbitNum,54.0,12
2UDrabbitEn,58.7,12
2UDrabbitRe,61.9,12
2UDrabbitFa,7.0,12
2UDwolfNum,1.0,12
2UDwolfEn,2127.6,12
2UDwolfRe,2255.0,12
2UDwolfFa,5.0,12
grassNum,777.0,13
grassEn,115.3,13
grassRe,129.4,13
grassFa,1.3,13
KDFwolfNum,16.0,13
KDFwolfEn,290.0,13
KDFwolfRe,547.8,13
KDFwolfFa,5.7,13
008rabbitNum,100.0,13
008rabbitEn,51.8,13
008rabbitRe,49.0,13
008rabbitFa,6.7,13
KDFrabbitNum,19.0,13
KDFrabbitEn,179.3,13
KDFrabbitRe,348.3,13
KDFrabbitFa,6.7,13
008wolfNum,2.0,13
008wolfEn,735.8,13
008wolfRe,1040.6,13
008wolfFa,5.2,13
2UDrabbitNum,62.0,13
2UDrabbitEn,60.9,13
2UDrabbitRe,61.8,13
2UDrabbitFa,7.0,13
2UDwolfNum,1.0,13
2UDwolfEn,2178.5,13
2UDwolfRe,2255.0,13
2UDwolfFa,5.0,13
grassNum,820.0,14
grassEn,119.0,14
grassRe,129.3,14
grassFa,1.5,14
KDFwolfNum,16.0,14
KDFwolfEn,284.3,14
KDFwolfRe,547.8,14
KDFwolfFa,5.7,14
008rabbitNum,122.0,14
008rabbitEn,44.0,14
008rabbitRe,48.7,14
008rabbitFa,6.6,14
KDFrabbitNum,21.0,14
KDFrabbitEn,160.2,14
KDFrabbitRe,348.6,14
KDFrabbitFa,6.9,14
008wolfNum,2.0,14
008wolfEn,806.0,14
008wolfRe,1040.6,14
008wolfFa,5.2,14
2UDrabbitNum,71.0,14
2UDrabbitEn,61.2,14
2UDrabbitRe,61.5,14
2UDrabbitFa,7.1,14
2UDwolfNum,1.0,14
2UDwolfEn,2173.5,14
2UDwolfRe,2255.0,14
2UDwolfFa,5.0,14
grassNum,876.0,15
grassEn,120.6,15
grassRe,129.2,15
grassFa,1.6,15
KDFwolfNum,16.0,15
KDFwolfEn,278.6,15
KDFwolfRe,547.8,15
KDFwolfFa,5.7,15
008rabbitNum,141.0,15
008rabbitEn,43.9,15
008rabbitRe,48.6,15
008rabbitFa,6.5,15
KDFrabbitNum,23.0,15
KDFrabbitEn,153.6,15
KDFrabbitRe,348.4,15
KDFrabbitFa,6.8,15
008wolfNum,2.0,15
008wolfEn,834.3,15
008wolfRe,1040.6,15
008wolfFa,5.2,15
2UDrabbitNum,82.0,15
2UDrabbitEn,61.1,15
2UDrabbitRe,62.0,15
2UDrabbitFa,7.0,15
2UDwolfNum,1.0,15
2UDwolfEn,2203.4,15
2UDwolfRe,2255.0,15
2UDwolfFa,5.0,15
grassNum,914.0,16
grassEn,123.2,16
grassRe,129.3,16
grassFa,1.7,16
KDFwolfNum,16.0,16
KDFwolfEn,273.0,16
KDFwolfRe,547.8,16
KDFwolfFa,5.7,16
008rabbitNum,157.0,16
008rabbitEn,42.5,16
008rabbitRe,48.7,16
008rabbitFa,6.5,16
KDFrabbitNum,23.0,16
KDFrabbitEn,188.5,16
KDFrabbitRe,349.1,16
KDFrabbitFa,6.9,16
008wolfNum,2.0,16
008wolfEn,909.5,16
008wolfRe,1040.6,16
008wolfFa,5.2,16
2UDrabbitNum,101.0,16
2UDrabbitEn,56.2,16
2UDrabbitRe,62.4,16
2UDrabbitFa,6.9,16
2UDwolfNum,1.0,16
2UDwolfEn,2249.8,16
2UDwolfRe,2255.0,16
2UDwolfFa,5.0,16
grassNum,925.0,17
grassEn,127.0,17
grassRe,129.0,17
grassFa,1.9,17
KDFwolfNum,16.0,17
KDFwolfEn,267.3,17
KDFwolfRe,547.8,17
KDFwolfFa,5.7,17
008rabbitNum,179.0,17
008rabbitEn,44.4,17
008rabbitRe,48.5,17
008rabbitFa,6.5,17
KDFrabbitNum,25.0,17
KDFrabbitEn,195.8,17
KDFrabbitRe,349.0,17
KDFrabbitFa,7.2,17
008wolfNum,3.0,17
008wolfEn,750.4,17
008wolfRe,1041.6,17
008wolfFa,5.2,17
