stat,value,year
008rabbitEn,30.1,69
008rabbitRe,49.8,69
008rabbitFa,6.3,69
KDFrabbitNum,50.0,69
KDFrabbitEn,241.3,69
KDFrabbitRe,348.7,69
KDFrabbitFa,6.4,69
008wolfNum,32.0,69
008wolfEn,765.1,69
008wolfRe,1046.3,69
008wolfFa,5.2,69
2UDrabbitNum,296.0,69
2UDrabbitEn,46.6,69
2UDrabbitRe,67.6,69
2UDrabbitFa,6.5,69
2UDwolfNum,10.0,69
2UDwolfEn,1673.0,69
2UDwolfRe,2252.9,69
2UDwolfFa,5.2,69
grassNum,635.0,70
grassEn,144.6,70
grassRe,128.0,70
grassFa,2.2,70
KDFwolfNum,51.0,70
KDFwolfEn,306.3,70
KDFwolfRe,544.9,70
KDFwolfFa,5.6,70
008rabbitNum,95.0,70
008rabbitEn,31.3,70
008rabbitRe,49.7,70
008rabbitFa,6.3,70
KDFrabbitNum,50.0,70
KDFrabbitEn,210.8,70
KDFrabbitRe,348.5,70
KDFrabbitFa,6.4,70
008wolfNum,33.0,70
008wolfEn,758.2,70
008wolfRe,1046.3,70
008wolfFa,5.2,70
2UDrabbitNum,300.0,70
2UDrabbitEn,45.4,70
2UDrabbitRe,67.4,70
2UDrabbitFa,6.6,70
2UDwolfNum,11.0,70
2UDwolfEn,1633.7,70
2UDwolfRe,2253.2,70
2UDwolfFa,5.2,70
grassNum,662.0,71
grassEn,144.2,71
grassRe,127.9,71
grassFa,2.2,71
KDFwolfNum,51.0,71
KDFwolfEn,304.6,71
KDFwolfRe,544.9,71
KDFwolfFa,5.6,71
008rabbitNum,87.0,71
008rabbitEn,34.3,71
008rabbitRe,50.5,71
008rabbitFa,6.4,71
KDFrabbitNum,51.0,71
KDFrabbitEn,213.8,71
KDFrabbitRe,348.6,71
KDFrabbitFa,6.4,71
008wolfNum,34.0,71
008wolfEn,749.3,71
008wolfRe,1046.2,71
008wolfFa,5.2,71
2UDrabbitNum,292.0,71
2UDrabbitEn,46.4,71
2UDrabbitRe,67.5,71
2UDrabbitFa,6.5,71
2UDwolfNum,11.0,71
2UDwolfEn,1660.3,71
2UDwolfRe,2253.2,71
2UDwolfFa,5.2,71
grassNum,691.0,72
grassEn,143.6,72
grassRe,127.9,72
grassFa,2.2,72
KDFwolfNum,51.0,72
KDFwolfEn,306.3,72
KDFwolfRe,544.9,72
KDFwolfFa,5.6,72
008rabbitNum,80.0,72
008rabbitEn,41.3,72
008rabbitRe,50.0,72
008rabbitFa,6.4,72
KDFrabbitNum,46.0,72
KDFrabbitEn,243.1,72
KDFrabbitRe,348.7,72
KDFrabbitFa,6.2,72
008wolfNum,35.0,72
008wolfEn,749.9,72
008wolfRe,1046.1,72
008wolfFa,5.2,72
2UDrabbitNum,292.0,72
2UDrabbitEn,46.7,72
2UDrabbitRe,67.5,72
2UDrabbitFa,6.5,72
2UDwolfNum,11.0,72
2UDwolfEn,1688.2,72
2UDwolfRe,2253.2,72
2UDwolfFa,5.2,72
grassNum,705.0,73
grassEn,146.4,73
grassRe,127.8,73
grassFa,2.3,73
KDFwolfNum,51.0,73
KDFwolfEn,302.0,73
KDFwolfRe,544.9,73
KDFwolfFa,5.6,73
008rabbitNum,73.0,73
008rabbitEn,38.4,73
008rabbitRe,49.5,73
008rabbitFa,6.5,73
KDFrabbitNum,47.0,73
KDFrabbitEn,239.2,73
KDFrabbitRe,348.9,73
KDFrabbitFa,6.1,73
008wolfNum,36.0,73
008wolfEn,748.6,73
008wolfRe,1046.3,73
008wolfFa,5.2,73
2UDrabbitNum,290.0,73
2UDrabbitEn,48.3,73
2UDrabbitRe,67.6,73
2UDrabbitFa,6.5,73
2UDwolfNum,11.0,73
2UDwolfEn,1717.2,73
2UDwolfRe,2253.2,73
2UDwolfFa,5.2,73
grassNum,728.0,74
grassEn,146.7,74
grassRe,127.9,74
grassFa,2.4,74
KDFwolfNum,51.0,74
KDFwolfEn,301.8,74
KDFwolfRe,544.9,74
KDFwolfFa,5.6,74
008rabbitNum,66.0,74
008rabbitEn,39.2,74
008rabbitRe,48.2,74
008rabbitFa,6.3,74
KDFrabbitNum,48.0,74
KDFrabbitEn,234.4,74
KDFrabbitRe,348.9,74
KDFrabbitFa,6.1,74
008wolfNum,36.0,74
008wolfEn,754.1,74
008wolfRe,1046.3,74
008wolfFa,5.2,74
2UDrabbitNum,283.0,74
2UDrabbitEn,50.1,74
2UDrabbitRe,67.6,74
2UDrabbitFa,6.4,74
2UDwolfNum,11.0,74
2UDwolfEn,1755.8,74
2UDwolfRe,2253.2,74
2UDwolfFa,5.2,74
grassNum,742.0,75
grassEn,148.0,75
grassRe,127.8,75
grassFa,2.4,75
KDFwolfNum,51.0,75
KDFwolfEn,298.0,75
KDFwolfRe,544.9,75
KDFwolfFa,5.6,75
008rabbitNum,73.0,75
008rabbitEn,32.6,75
008rabbitRe,48.4,75
008rabbitFa,6.4,75
KDFrabbitNum,47.0,75
KDFrabbitEn,271.8,75
KDFrabbitRe,349.0,75
KDFrabbitFa,6.1,75
008wolfNum,37.0,75
008wolfEn,745.9,75
008wolfRe,1046.3,75
008wolfFa,5.2,75
2UDrabbitNum,297.0,75
2UDrabbitEn,49.3,75
2UDrabbitRe,67.6,75
2UDrabbitFa,6.4,75
2UDwolfNum,11.0,75
2UDwolfEn,1779.4,75
2UDwolfRe,2253.2,75
2UDwolfFa,5.2,75
grassNum,772.0,76
grassEn,148.5,76
grassRe,127.7,76
grassFa,2.5,76
KDFwolfNum,51.0,76
KDFwolfEn,295.3,76
KDFwolfRe,544.9,76
KDFwolfFa,5.6,76
008rabbitNum,76.0,76
008rabbitEn,33.3,76
008rabbitRe,49.0,76
008rabbitFa,6.5,76
KDFrabbitNum,52.0,76
KDFrabbitEn,239.5,76
KDFrabbitRe,348.5,76
KDFrabbitFa,6.1,76
008wolfNum,38.0,76
008wolfEn,736.3,76
008wolfRe,1046.2,76
008wolfFa,5.2,76
2UDrabbitNum,308.0,76
2UDrabbitEn,47.7,76
2UDrabbitRe,67.7,76
2UDrabbitFa,6.4,76
2UDwolfNum,11.0,76
2UDwolfEn,1795.8,76
2UDwolfRe,2253.2,76
2UDwolfFa,5.2,76
grassNum,795.0,77
grassEn,148.0,77
grassRe,127.7,77
grassFa,2.5,77
KDFwolfNum,51.0,77
KDFwolfEn,304.1,77
KDFwolfRe,544.9,77
KDFwolfFa,5.6,77
008rabbitNum,56.0,77
008rabbitEn,29.7,77
008rabbitRe,48.9,77
008rabbitFa,6.2,77
KDFrabbitNum,53.0,77
KDFrabbitEn,226.3,77
KDFrabbitRe,348.6,77
KDFrabbitFa,6.1,77
008wolfNum,38.0,77
008wolfEn,744.5,77
008wolfRe,1046.2,77
008wolfFa,5.2,77
2UDrabbitNum,312.0,77
2UDrabbitEn,49.6,77
2UDrabbitRe,68.0,77
2UDrabbitFa,6.4,77
2UDwolfNum,12.0,77
2UDwolfEn,1739.7,77
2UDwolfRe,2253.4,77
2UDwolfFa,5.2,77
grassNum,817.0,78
grassEn,147.6,78
grassRe,127.6,78
grassFa,2.6,78
KDFwolfNum,52.0,78
KDFwolfEn,303.7,78
KDFwolfRe,545.1,78
KDFwolfFa,5.6,78
008rabbitNum,51.0,78
008rabbitEn,33.3,78
008rabbitRe,48.6,78
008rabbitFa,6.1,78
KDFrabbitNum,51.0,78
KDFrabbitEn,229.6,78
KDFrabbitRe,348.9,78
KDFrabbitFa,6.0,78
008wolfNum,41.0,78
008wolfEn,721.4,78
008wolfRe,1046.2,78
008wolfFa,5.2,78
2UDrabbitNum,328.0,78
2UDrabbitEn,47.2,78
2UDrabbitRe,67.9,78
2UDrabbitFa,6.4,78
2UDwolfNum,13.0,78
2UDwolfEn,1699.9,78
2UDwolfRe,2253.1,78
2UDwolfFa,5.2,78
grassNum,836.0,79
grassEn,149.9,79
grassRe,127.5,79
grassFa,2.6,79
KDFwolfNum,54.0,79
KDFwolfEn,292.3,79
KDFwolfRe,544.7,79
KDFwolfFa,5.6,79
008rabbitNum,50.0,79
008rabbitEn,29.3,79
008rabbitRe,48.8,79
008rabbitFa,5.9,79
KDFrabbitNum,49.0,79
KDFrabbitEn,207.1,79
KDFrabbitRe,349.0,79
KDFrabbitFa,6.1,79
008wolfNum,42.0,79
008wolfEn,718.9,79
008wolfRe,1046.2,79
008wolfFa,5.3,79
2UDrabbitNum,324.0,79
2UDrabbitEn,48.7,79
2UDrabbitRe,68.0,79
2UDrabbitFa,6.4,79
2UDwolfNum,14.0,79
2UDwolfEn,1666.0,79
2UDwolfRe,2253.0,79
2UDwolfFa,5.2,79
grassNum,870.0,80
grassEn,151.3,80
grassRe,127.6,80
grassFa,2.7,80
KDFwolfNum,55.0,80
KDFwolfEn,290.5,80
KDFwolfRe,544.9,80
KDFwolfFa,5.6,80
008rabbitNum,45.0,80
008rabbitEn,34.6,80
008rabbitRe,49.9,80
008rabbitFa,5.8,80
KDFrabbitNum,47.0,80
KDFrabbitEn,221.3,80
KDFrabbitRe,349.1,80
KDFrabbitFa,5.9,80
008wolfNum,42.0,80
008wolfEn,717.4,80
008wolfRe,1046.2,80
008wolfFa,5.3,80
2UDrabbitNum,331.0,80
2UDrabbitEn,45.3,80
2UDrabbitRe,68.1,80
2UDrabbitFa,6.5,80
2UDwolfNum,14.0,80
2UDwolfEn,1687.5,80
2UDwolfRe,2253.0,80
2UDwolfFa,5.2,80
grassNum,899.0,81
grassEn,153.8,81
grassRe,127.5,81
grassFa,2.7,81
KDFwolfNum,56.0,81
KDFwolfEn,297.2,81
KDFwolfRe,544.9,81
KDFwolfFa,5.6,81
008rabbitNum,37.0,81
008rabbitEn,34.4,81
008rabbitRe,49.9,81
008rabbitFa,5.8,81
KDFrabbitNum,40.0,81
KDFrabbitEn,233.0,81
KDFrabbitRe,349.3,81
KDFrabbitFa,6.1,81
008wolfNum,42.0,81
008wolfEn,717.1,81
008wolfRe,1046.2,81
008wolfFa,5.3,81
2UDrabbitNum,329.0,81
2UDrabbitEn,45.3,81
2UDrabbitRe,68.1,81
2UDrabbitFa,6.5,81
2UDwolfNum,14.0,81
2UDwolfEn,1708.1,81
2UDwolfRe,2253.0,81
2UDwolfFa,5.2,81
grassNum,948.0,82
grassEn,153.6,82
grassRe,127.5,82
grassFa,2.8,82
KDFwolfNum,56.0,82
KDFwolfEn,297.4,82
KDFwolfRe,544.9,82
KDFwolfFa,5.6,82
008rabbitNum,31.0,82
008rabbitEn,47.5,82
008rabbitRe,51.4,82
008rabbitFa,5.8,82
KDFrabbitNum,40.0,82
KDFrabbitEn,226.3,82
KDFrabbitRe,349.2,82
KDFrabbitFa,6.2,82
008wolfNum,42.0,82
008wolfEn,716.0,82
008wolfRe,1046.2,82
008wolfFa,5.3,82
2UDrabbitNum,310.0,82
2UDrabbitEn,45.2,82
2UDrabbitRe,68.0,82
2UDrabbitFa,6.5,82
2UDwolfNum,14.0,82
2UDwolfEn,1739.2,82
2UDwolfRe,2253.0,82
2UDwolfFa,5.2,82
grassNum,985.0,83
grassEn,154.9,83
grassRe,127.5,83
grassFa,2.8,83
KDFwolfNum,56.0,83
KDFwolfEn,302.4,83
KDFwolfRe,544.9,83
KDFwolfFa,5.6,83
008rabbitNum,30.0,83
008rabbitEn,54.7,83
008rabbitRe,50.8,83
008rabbitFa,5.8,83
KDFrabbitNum,35.0,83
KDFrabbitEn,240.8,83
KDFrabbitRe,349.1,83
KDFrabbitFa,6.5,83
008wolfNum,42.0,83
008wolfEn,714.4,83
008wolfRe,1046.2,83
008wolfFa,5.3,83
2UDrabbitNum,303.0,83
2UDrabbitEn,44.7,83
2UDrabbitRe,67.8,83
2UDrabbitFa,6.6,83
2UDwolfNum,15.0,83
2UDwolfEn,1697.4,83
2UDwolfRe,2252.9,83
2UDwolfFa,5.2,83
grassNum,1044.0,84
grassEn,154.0,84
grassRe,127.4,84
grassFa,2.9,84
KDFwolfNum,60.0,84
KDFwolfEn,289.6,84
KDFwolfRe,545.1,84
KDFwolfFa,5.6,84
008rabbitNum,36.0,84
008rabbitEn,51.0,84
008rabbitRe,50.7,84
008rabbitFa,5.8,84
KDFrabbitNum,30.0,84
KDFrabbitEn,248.7,84
KDFrabbitRe,349.3,84
KDFrabbitFa,6.6,84
008wolfNum,42.0,84
008wolfEn,712.4,84
008wolfRe,1046.2,84
008wolfFa,5.3,84
2UDrabbitNum,302.0,84
2UDrabbitEn,44.3,84
2UDrabbitRe,67.9,84
2UDrabbitFa,6.7,84
2UDwolfNum,16.0,84
2UDwolfEn,1661.9,84
2UDwolfRe,2252.8,84
2UDwolfFa,5.2,84
grassNum,1056.0,85
grassEn,156.8,85
grassRe,127.4,85
grassFa,2.9,85
KDFwolfNum,62.0,85
KDFwolfEn,276.3,85
KDFwolfRe,544.7,85
KDFwolfFa,5.6,85
008rabbitNum,37.0,85
008rabbitEn,60.9,85
008rabbitRe,48.3,85
008rabbitFa,5.6,85
KDFrabbitNum,31.0,85
KDFrabbitEn,250.4,85
KDFrabbitRe,349.0,85
KDFrabbitFa,6.6,85
008wolfNum,43.0,85
008wolfEn,707.1,85
008wolfRe,1046.2,85
008wolfFa,5.3,85
2UDrabbitNum,283.0,85
2UDrabbitEn,46.5,85
2UDrabbitRe,67.8,85
2UDrabbitFa,6.7,85
2UDwolfNum,16.0,85
2UDwolfEn,1675.1,85
2UDwolfRe,2252.8,85
2UDwolfFa,5.2,85
grassNum,1102.0,86
grassEn,156.4,86
grassRe,127.4,86
grassFa,3.0,86
KDFwolfNum,63.0,86
KDFwolfEn,273.1,86
KDFwolfRe,544.7,86
KDFwolfFa,5.6,86
008rabbitNum,30.0,86
008rabbitEn,68.3,86
008rabbitRe,48.3,86
008rabbitFa,5.6,86
KDFrabbitNum,34.0,86
KDFrabbitEn,232.1,86
KDFrabbitRe,348.8,86
KDFrabbitFa,6.6,86
008wolfNum,44.0,86
008wolfEn,706.2,86
008wolfRe,1046.1,86
008wolfFa,5.3,86
2UDrabbitNum,279.0,86
2UDrabbitEn,44.0,86
2UDrabbitRe,68.0,86
2UDrabbitFa,6.6,86
2UDwolfNum,18.0,86
2UDwolfEn,1593.4,86
2UDwolfRe,2253.0,86
2UDwolfFa,5.2,86
grassNum,1124.0,87
grassEn,159.3,87
grassRe,127.2,87
grassFa,3.1,87
KDFwolfNum,63.0,87
KDFwolfEn,272.9,87
KDFwolfRe,544.7,87
KDFwolfFa,5.6,87
008rabbitNum,25.0,87
008rabbitEn,45.6,87
008rabbitRe,43.8,87
008rabbitFa,5.7,87
KDFrabbitNum,35.0,87
KDFrabbitEn,240.5,87
KDFrabbitRe,349.0,87
KDFrabbitFa,6.8,87
008wolfNum,45.0,87
008wolfEn,703.2,87
008wolfRe,1046.2,87
008wolfFa,5.3,87
2UDrabbitNum,264.0,87
2UDrabbitEn,46.6,87
2UDrabbitRe,68.1,87
2UDrabbitFa,6.5,87
2UDwolfNum,18.0,87
2UDwolfEn,1607.9,87
2UDwolfRe,2253.0,87
2UDwolfFa,5.2,87
grassNum,1164.0,88
grassEn,159.7,88
grassRe,127.1,88
grassFa,3.1,88
KDFwolfNum,63.0,88
KDFwolfEn,270.7,88
KDFwolfRe,544.7,88
KDFwolfFa,5.6,88
008rabbitNum,28.0,88
008rabbitEn,49.5,88
008rabbitRe,43.3,88
008rabbitFa,5.6,88
KDFrabbitNum,35.0,88
KDFrabbitEn,254.6,88
KDFrabbitRe,349.1,88
KDFrabbitFa,7.0,88
008wolfNum,45.0,88
008wolfEn,702.8,88
008wolfRe,1046.2,88
008wolfFa,5.3,88
2UDrabbitNum,265.0,88
2UDrabbitEn,46.2,88
2UDrabbitRe,68.2,88
2UDrabbitFa,6.5,88
2UDwolfNum,18.0,88
2UDwolfEn,1622.0,88
2UDwolfRe,2253.0,88
2UDwolfFa,5.2,88
grassNum,1198.0,89
grassEn,161.3,89
grassRe,127.0,89
grassFa,3.1,89
KDFwolfNum,63.0,89
KDFwolfEn,270.6,89
KDFwolfRe,544.7,89
KDFwolfFa,5.6,89
008rabbitNum,20.0,89
008rabbitEn,37.1,89
008rabbitRe,41.8,89
008rabbitFa,5.7,89
KDFrabbitNum,36.0,89
KDFrabbitEn,258.1,89
KDFrabbitRe,349.3,89
KDFrabbitFa,6.9,89
008wolfNum,45.0,89
008wolfEn,703.4,89
008wolfRe,1046.2,89
008wolfFa,5.3,89
2UDrabbitNum,264.0,89
2UDrabbitEn,47.2,89
2UDrabbitRe,68.2,89
2UDrabbitFa,6.5,89
2UDwolfNum,18.0,89
2UDwolfEn,1632.0,89
2UDwolfRe,2253.0,89
2UDwolfFa,5.2,89
grassNum,1236.0,90
grassEn,162.3,90
grassRe,127.1,90
grassFa,3.2,90
KDFwolfNum,64.0,90
KDFwolfEn,268.7,90
KDFwolfRe,544.9,90
KDFwolfFa,5.6,90
008rabbitNum,20.0,90
008rabbitEn,48.0,90
008rabbitRe,42.3,90
008rabbitFa,5.7,90
KDFrabbitNum,35.0,90
KDFrabbitEn,250.0,90
KDFrabbitRe,349.1,90
KDFrabbitFa,6.9,90
008wolfNum,46.0,90
008wolfEn,693.0,90
008wolfRe,1046.2,90
008wolfFa,5.4,90
2UDrabbitNum,253.0,90
2UDrabbitEn,47.8,90
2UDrabbitRe,68.3,90
2UDrabbitFa,6.5,90
2UDwolfNum,19.0,90
2UDwolfEn,1604.4,90
2UDwolfRe,2252.8,90
2UDwolfFa,5.2,90
grassNum,1258.0,91
grassEn,164.8,91
grassRe,127.0,91
grassFa,3.2,91
KDFwolfNum,64.0,91
KDFwolfEn,269.4,91
KDFwolfRe,544.9,91
KDFwolfFa,5.6,91
008rabbitNum,24.0,91
008rabbitEn,53.1,91
008rabbitRe,43.2,91
008rabbitFa,5.8,91
KDFrabbitNum,37.0,91
KDFrabbitEn,232.4,91
KDFrabbitRe,349.0,91
KDFrabbitFa,6.9,91
008wolfNum,46.0,91
008wolfEn,688.1,91
008wolfRe,1046.2,91
008wolfFa,5.4,91
2UDrabbitNum,248.0,91
2UDrabbitEn,46.4,91
2UDrabbitRe,68.4,91
2UDrabbitFa,6.6,91
2UDwolfNum,19.0,91
2UDwolfEn,1621.5,91
2UDwolfRe,2252.8,91
2UDwolfFa,5.2,91
grassNum,1301.0,92
grassEn,164.7,92
grassRe,127.1,92
grassFa,3.3,92
KDFwolfNum,66.0,92
KDFwolfEn,263.2,92
KDFwolfRe,544.9,92
KDFwolfFa,5.6,92
008rabbitNum,31.0,92
008rabbitEn,41.2,92
008rabbitRe,44.6,92
008rabbitFa,5.9,92
KDFrabbitNum,40.0,92
KDFrabbitEn,205.5,92
KDFrabbitRe,348.8,92
KDFrabbitFa,7.0,92
008wolfNum,46.0,92
008wolfEn,684.3,92
008wolfRe,1046.2,92
008wolfFa,5.4,92
2UDrabbitNum,252.0,92
2UDrabbitEn,45.1,92
2UDrabbitRe,68.4,92
2UDrabbitFa,6.6,92
2UDwolfNum,19.0,92
2UDwolfEn,1632.7,92
2UDwolfRe,2252.8,92
2UDwolfFa,5.2,92
grassNum,1321.0,93
grassEn,165.6,93
grassRe,127.1,93
grassFa,3.3,93
KDFwolfNum,67.0,93
KDFwolfEn,258.5,93
KDFwolfRe,544.9,93
KDFwolfFa,5.6,93
008rabbitNum,34.0,93
008rabbitEn,53.5,93
008rabbitRe,46.6,93
008rabbitFa,6.1,93
KDFrabbitNum,39.0,93
KDFrabbitEn,249.2,93
KDFrabbitRe,349.1,93
KDFrabbitFa,7.0,93
008wolfNum,46.0,93
008wolfEn,681.0,93
008wolfRe,1046.2,93
008wolfFa,5.4,93
2UDrabbitNum,248.0,93
2UDrabbitEn,46.7,93
2UDrabbitRe,68.4,93
2UDrabbitFa,6.6,93
2UDwolfNum,19.0,93
2UDwolfEn,1638.9,93
2UDwolfRe,2252.8,93
2UDwolfFa,5.2,93
grassNum,1354.0,94
grassEn,166.4,94
grassRe,127.2,94
grassFa,3.3,94
KDFwolfNum,68.0,94
KDFwolfEn,258.7,94
KDFwolfRe,545.1,94
KDFwolfFa,5.6,94
008rabbitNum,43.0,94
008rabbitEn,56.5,94
008rabbitRe,48.2,94
008rabbitFa,6.2,94
KDFrabbitNum,39.0,94
KDFrabbitEn,230.0,94
KDFrabbitRe,349.0,94
KDFrabbitFa,7.2,94
008wolfNum,47.0,94
008wolfEn,671.8,94
008wolfRe,1046.2,94
008wolfFa,5.4,94
2UDrabbitNum,247.0,94
2UDrabbitEn,45.6,94
2UDrabbitRe,68.4,94
2UDrabbitFa,6.6,94
2UDwolfNum,19.0,94
2UDwolfEn,1652.9,94
2UDwolfRe,2252.8,94
2UDwolfFa,5.2,94
grassNum,1369.0,95
grassEn,168.2,95
grassRe,127.3,95
grassFa,3.4,95
KDFwolfNum,69.0,95
KDFwolfEn,262.1,95
KDFwolfRe,545.1,95
KDFwolfFa,5.6,95
008rabbitNum,50.0,95
008rabbitEn,53.4,95
008rabbitRe,51.6,95
008rabbitFa,6.4,95
KDFrabbitNum,37.0,95
KDFrabbitEn,233.9,95
KDFrabbitRe,349.0,95
KDFrabbitFa,7.3,95
008wolfNum,47.0,95
008wolfEn,670.0,95
008wolfRe,1046.2,95
008wolfFa,5.4,95
2UDrabbitNum,247.0,95
2UDrabbitEn,47.6,95
2UDrabbitRe,68.6,95
2UDrabbitFa,6.6,95
2UDwolfNum,19.0,95
2UDwolfEn,1662.4,95
2UDwolfRe,2252.8,95
2UDwolfFa,5.2,95
grassNum,1416.0,96
grassEn,167.9,96
grassRe,127.3,96
grassFa,3.5,96
KDFwolfNum,69.0,96
KDFwolfEn,263.5,96
KDFwolfRe,545.1,96
KDFwolfFa,5.6,96
008rabbitNum,57.0,96
008rabbitEn,49.1,96
008rabbitRe,53.3,96
008rabbitFa,6.7,96
KDFrabbitNum,39.0,96
KDFrabbitEn,211.0,96
KDFrabbitRe,349.2,96
KDFrabbitFa,7.6,96
008wolfNum,47.0,96
008wolfEn,670.9,96
008wolfRe,1046.2,96
008wolfFa,5.4,96
2UDrabbitNum,239.0,96
2UDrabbitEn,48.1,96
2UDrabbitRe,68.8,96
2UDrabbitFa,6.5,96
2UDwolfNum,19.0,96
2UDwolfEn,1665.9,96
2UDwolfRe,2252.8,96
2UDwolfFa,5.2,96
grassNum,1432.0,97
grassEn,169.6,97
grassRe,127.3,97
grassFa,3.5,97
KDFwolfNum,71.0,97
KDFwolfEn,257.8,97
KDFwolfRe,545.3,97
KDFwolfFa,5.6,97
008rabbitNum,67.0,97
008rabbitEn,49.0,97
008rabbitRe,53.3,97
008rabbitFa,6.8,97
KDFrabbitNum,35.0,97
KDFrabbitEn,256.7,97
KDFrabbitRe,349.7,97
KDFrabbitFa,7.7,97
008wolfNum,47.0,97
008wolfEn,669.1,97
008wolfRe,1046.2,97
008wolfFa,5.4,97
2UDrabbitNum,248.0,97
2UDrabbitEn,49.4,97
2UDrabbitRe,68.8,97
2UDrabbitFa,6.4,97
2UDwolfNum,20.0,97
2UDwolfEn,1634.8,97
2UDwolfRe,2252.8,97
2UDwolfFa,5.2,97
grassNum,1435.0,98
grassEn,172.1,98
grassRe,127.4,98
grassFa,3.5,98
KDFwolfNum,71.0,98
KDFwolfEn,260.8,98
KDFwolfRe,545.3,98
KDFwolfFa,5.6,98
008rabbitNum,75.0,98
008rabbitEn,47.4,98
008rabbitRe,54.2,98
008rabbitFa,6.8,98
KDFrabbitNum,36.0,98
KDFrabbitEn,245.2,98
KDFrabbitRe,349.4,98
KDFrabbitFa,7.7,98
008wolfNum,47.0,98
008wolfEn,668.4,98
008wolfRe,1046.2,98
008wolfFa,5.4,98
2UDrabbitNum,248.0,98
2UDrabbitEn,52.5,98
2UDrabbitRe,68.9,98
2UDrabbitFa,6.4,98
2UDwolfNum,20.0,98
2UDwolfEn,1649.6,98
2UDwolfRe,2252.8,98
2UDwolfFa,5.2,98
grassNum,1462.0,99
grassEn,172.7,99
grassRe,127.4,99
grassFa,3.6,99
KDFwolfNum,71.0,99
KDFwolfEn,261.3,99
KDFwolfRe,545.3,99
KDFwolfFa,5.6,99
008rabbitNum,78.0,99
008rabbitEn,43.0,99
008rabbitRe,54.6,99
008rabbitFa,6.9,99
KDFrabbitNum,36.0,99
KDFrabbitEn,250.5,99
KDFrabbitRe,349.7,99
KDFrabbitFa,7.8,99
008wolfNum,47.0,99
008wolfEn,674.1,99
008wolfRe,1046.2,99
008wolfFa,5.4,99
2UDrabbitNum,255.0,99
2UDrabbitEn,51.8,99
2UDrabbitRe,69.1,99
2UDrabbitFa,6.3,99
2UDwolfNum,20.0,99
2UDwolfEn,1660.4,99
2UDwolfRe,2252.8,99
2UDwolfFa,5.2,99
grassNum,1480.0,100
grassEn,174.9,100
grassRe,127.4,100
grassFa,3.5,100
KDFwolfNum,72.0,100
KDFwolfEn,266.5,100
KDFwolfRe,545.5,100
KDFwolfFa,5.6,100
008rabbitNum,77.0,100
008rabbitEn,35.9,100
008rabbitRe,54.6,100
008rabbitFa,6.8,100
KDFrabbitNum,39.0,100
KDFrabbitEn,213.1,100
KDFrabbitRe,349.8,100
KDFrabbitFa,8.1,100
008wolfNum,47.0,100
008wolfEn,678.1,100
008wolfRe,1046.2,100
008wolfFa,5.4,100
2UDrabbitNum,246.0,100
2UDrabbitEn,51.5,100
2UDrabbitRe,69.4,100
2UDrabbitFa,6.4,100
2UDwolfNum,20.0,100
2UDwolfEn,1683.1,100
2UDwolfRe,2252.8,100
2UDwolfFa,5.2,100
grassNum,1501.0,101
grassEn,176.0,101
grassRe,127.3,101
grassFa,3.6,101
KDFwolfNum,72.0,101
KDFwolfEn,266.1,101
KDFwolfRe,545.5,101
KDFwolfFa,5.6,101
008rabbitNum,67.0,101
008rabbitEn,46.4,101
008rabbitRe,55.1,101
008rabbitFa,6.9,101
KDFrabbitNum,37.0,101
KDFrabbitEn,239.1,101
KDFrabbitRe,349.2,101
KDFrabbitFa,8.2,101
008wolfNum,48.0,101
008wolfEn,672.1,101
008wolfRe,1046.2,101
008wolfFa,5.4,101
2UDrabbitNum,261.0,101
2UDrabbitEn,51.4,101
2UDrabbitRe,69.4,101
2UDrabbitFa,6.4,101
2UDwolfNum,20.0,101
2UDwolfEn,1691.5,101
2UDwolfRe,2252.8,101
2UDwolfFa,5.2,101
grassNum,1534.0,102
grassEn,176.0,102
grassRe,127.3,102
grassFa,3.6,102
KDFwolfNum,72.0,102
KDFwolfEn,277.7,102
KDFwolfRe,545.5,102
KDFwolfFa,5.6,102
008rabbitNum,57.0,102
008rabbitEn,47.5,102
008rabbitRe,56.3,102
008rabbitFa,6.9,102
KDFrabbitNum,40.0,102
KDFrabbitEn,218.3,102
KDFrabbitRe,349.4,102
KDFrabbitFa,8.2,102
008wolfNum,49.0,102
008wolfEn,672.7,102
008wolfRe,1046.1,102
008wolfFa,5.3,102
2UDrabbitNum,246.0,102
2UDrabbitEn,50.8,102
2UDrabbitRe,69.6,102
2UDrabbitFa,6.4,102
2UDwolfNum,21.0,102
2UDwolfEn,1668.5,102
2UDwolfRe,2252.7,102
2UDwolfFa,5.2,102
grassNum,1572.0,103
grassEn,176.0,103
grassRe,127.4,103
grassFa,3.6,103
KDFwolfNum,73.0,103
KDFwolfEn,273.5,103
KDFwolfRe,545.4,103
KDFwolfFa,5.6,103
008rabbitNum,41.0,103
008rabbitEn,41.0,103
008rabbitRe,55.8,103
008rabbitFa,6.7,103
KDFrabbitNum,40.0,103
KDFrabbitEn,225.1,103
KDFrabbitRe,349.5,103
KDFrabbitFa,8.0,103
008wolfNum,49.0,103
008wolfEn,687.1,103
008wolfRe,1046.1,103
008wolfFa,5.3,103
2UDrabbitNum,243.0,103
2UDrabbitEn,52.2,103
2UDrabbitRe,69.6,103
2UDrabbitFa,6.5,103
2UDwolfNum,21.0,103
2UDwolfEn,1686.6,103
2UDwolfRe,2252.7,103
