name,alcohol,sugar,acid,oz,style,glass,melt,ingredients,all_text,x,y,features
Cosmopolitan,0.190476190476191,0.0624867724867725,0.0120634920634921,4.725,shaken,coupe,0.35,Absolut Citron vodka|Cointreau|cranberry juice|lime juice|orange twist,Cosmopolitan|shaken|coupe|Absolut|Citron|vodka|Cointreau|cranberry|juice|lime|juice|orange|twist,50.36466067077425,51.67905759752686,Cosmopolitan|shaken|coupe|Absolut|Citron|vodka|Cointreau|cranberry|juice|lime|juice|orange|twist
Sawyer,0.19753086419753102,0.0779012345679012,0.007407407407407409,4.05,shaken,old-fashioned,0.35,gin|lime juice|simple syrup|Angostura bitters|Peychaud's bitters|orange bitters,Sawyer|shaken|old-fashioned|gin|lime|juice|simple|syrup|Angostura|bitters|Peychaud's|bitters|orange|bitters,25.179903315972975,74.6364945062957,Sawyer|shaken|old-fashioned|gin|lime|juice|simple|syrup|Angostura|bitters|Peychaud's|bitters|orange|bitters
Harvard Cocktail,0.201041641536462,0.0557407763657363,0.00555555513888894,3.60000045,shaken,coupe,0.35,cognac|sweet vermouth|lemon juice|grenadine|Angostura bitters|lemon twist,Harvard|Cocktail|shaken|coupe|cognac|sweet|vermouth|lemon|juice|grenadine|Angostura|bitters|lemon|twist,12.83032787661415,23.235310957080504,Harvard|Cocktail|shaken|coupe|cognac|sweet|vermouth|lemon|juice|grenadine|Angostura|bitters|lemon|twist
La Rosa,0.209486166007905,0.0758102766798419,0.00711462450592885,6.325,bubbly,,0.1,strawberry|simple syrup|tequila blanco|amaro|lemon juice|pink champagne,La|Rosa|bubbly|nan|strawberry|simple|syrup|tequila|blanco|amaro|lemon|juice|pink|champagne,44.51030969664707,-54.69297993910926,La|Rosa|bubbly|nan|strawberry|simple|syrup|tequila|blanco|amaro|lemon|juice|pink|champagne
Alabazam,0.218855218855219,0.0761616161616162,0.0040404040404040395,3.7125,shaken,coupe,0.35,cognac|Cointreau|Angostura bitters|lemon juice|simple syrup,Alabazam|shaken|coupe|cognac|Cointreau|Angostura|bitters|lemon|juice|simple|syrup,19.429022741399546,-9.768155581373222,Alabazam|shaken|coupe|cognac|Cointreau|Angostura|bitters|lemon|juice|simple|syrup
Hanky Panky,0.22165992727466396,0.0615384615384615,0.00218623458768381,4.1166671,stirred,coupe,0.3,gin|sweet vermouth|Fernet Branca|orange twist,Hanky|Panky|stirred|coupe|gin|sweet|vermouth|Fernet|Branca|orange|twist,-35.43312012247499,33.806864283239015,Hanky|Panky|stirred|coupe|gin|sweet|vermouth|Fernet|Branca|orange|twist
Original Cosmopolitan,0.222222222222222,0.0546759259259259,0.01,5.4,shaken,coupe,0.35,Absolut Citron vodka|Cointreau|cranberry juice|lime juice|orange twist,Original|Cosmopolitan|shaken|coupe|Absolut|Citron|vodka|Cointreau|cranberry|juice|lime|juice|orange|twist,54.94438981994076,45.216341204898995,Original|Cosmopolitan|shaken|coupe|Absolut|Citron|vodka|Cointreau|cranberry|juice|lime|juice|orange|twist
Negroni,0.223611111111111,0.111111111111111,0.00166666666666667,3.6,built,old-fashioned,0.2,gin|sweet vermouth|Campari|orange twist,Negroni|built|old-fashioned|gin|sweet|vermouth|Campari|orange|twist,-38.10907145623673,22.49754782297448,Negroni|built|old-fashioned|gin|sweet|vermouth|Campari|orange|twist
Champs Elysees,0.225374325972871,0.0746887406884287,0.00851063757356276,5.28750045,shaken,coupe,0.35,cognac|Cointreau|Green Chartreuse|lemon juice|simple syrup|Angostura bitters,Champs|Elysees|shaken|coupe|cognac|Cointreau|Green|Chartreuse|lemon|juice|simple|syrup|Angostura|bitters,23.221006336966326,-2.2028242798181616,Champs|Elysees|shaken|coupe|cognac|Cointreau|Green|Chartreuse|lemon|juice|simple|syrup|Angostura|bitters
Boulevardier,0.229120879120879,0.0879120879120879,0.00131868131868132,4.55,stirred,coupe,0.3,rye whiskey|sweet vermouth|Campari|orange twist,Boulevardier|stirred|coupe|rye|whiskey|sweet|vermouth|Campari|orange|twist,-22.123024584547387,8.404379714826959,Boulevardier|stirred|coupe|rye|whiskey|sweet|vermouth|Campari|orange|twist
