name,alcohol,sugar,acid,oz,style,glass,melt,ingredients,all_text,features,x,y
Bijou,0.28589743589743605,0.105128205128205,0.00153846153846154,3.9,stirred,coupe,0.3,gin|sweet vermouth|Green Chartreuse|orange bitters|cherry|lemon twist,Bijou|stirred|coupe|gin|sweet|vermouth|Green|Chartreuse|orange|bitters|cherry|lemon|twist,Bijou|stirred|coupe|gin|sweet|vermouth|Green|Chartreuse|orange|bitters|cherry|lemon|twist,1.4626039582250914,1.1764168603792715
Improved Whiskey Cocktail,0.28615384615384604,0.0742307692307692,0.0,3.25,stirred,old-fashioned,0.3,rye whiskey|simple syrup|Luxardo Maraschino|Angostura bitters|absinthe|lemon twist,Improved|Whiskey|Cocktail|stirred|old-fashioned|rye|whiskey|simple|syrup|Luxardo|Maraschino|Angostura|bitters|absinthe|lemon|twist,Improved|Whiskey|Cocktail|stirred|old-fashioned|rye|whiskey|simple|syrup|Luxardo|Maraschino|Angostura|bitters|absinthe|lemon|twist,1.1700795984412056,-1.2214597838662717
De La Louisiane,0.29038461538461496,0.0519230769230769,0.000769230769230769,3.9,stirred,coupe,0.3,rye whiskey|Benedictine|sweet vermouth|Peychaud's bitters|Angostura bitters|absinthe|cherry,De|La|Louisiane|stirred|coupe|rye|whiskey|Benedictine|sweet|vermouth|Peychaud's|bitters|Angostura|bitters|absinthe|cherry,De|La|Louisiane|stirred|coupe|rye|whiskey|Benedictine|sweet|vermouth|Peychaud's|bitters|Angostura|bitters|absinthe|cherry,2.200638445398383,-0.3152080291017437
Sazerac,0.290598290598291,0.0525641025641026,0.0,2.925,stirred,old-fashioned,0.3,rye whiskey|simple syrup|Peychaud's bitters|absinthe|lemon peel,Sazerac|stirred|old-fashioned|rye|whiskey|simple|syrup|Peychaud's|bitters|absinthe|lemon|peel,Sazerac|stirred|old-fashioned|rye|whiskey|simple|syrup|Peychaud's|bitters|absinthe|lemon|peel,0.5463246868934301,-1.237249749557274
Toronto,0.29153846153846197,0.0534615384615385,0.0,3.25,stirred,coupe,0.3,rye whiskey|Fernet Branca|simple syrup|Angostura bitters|orange twist,Toronto|stirred|coupe|rye|whiskey|Fernet|Branca|simple|syrup|Angostura|bitters|orange|twist,Toronto|stirred|coupe|rye|whiskey|Fernet|Branca|simple|syrup|Angostura|bitters|orange|twist,1.0192526998902562,-0.10883972864748843
Agave Old Fashioned,0.307692260355037,0.0320513412228706,0.0,2.6000004,built,old-fashioned,0.2,tequila reposado|agave nectar|Angostura bitters,Agave|Old|Fashioned|built|old-fashioned|tequila|reposado|agave|nectar|Angostura|bitters,Agave|Old|Fashioned|built|old-fashioned|tequila|reposado|agave|nectar|Angostura|bitters,0.5931276827545858,-2.3762132782463934
Applejack Old Fashioned,0.307692260355037,0.109935992702155,0.0,2.6000004,built,old-fashioned,0.2,applejack|maple syrup|Angostura bitters,Applejack|Old|Fashioned|built|old-fashioned|applejack|maple|syrup|Angostura|bitters,Applejack|Old|Fashioned|built|old-fashioned|applejack|maple|syrup|Angostura|bitters,0.34106948475196375,-2.5693438579247645
Rum Old Fashioned,0.307692260355037,0.0394231497041308,0.0,2.6000004,built,old-fashioned,0.2,aged rum|simple syrup|Angostura bitters,Rum|Old|Fashioned|built|old-fashioned|aged|rum|simple|syrup|Angostura|bitters,Rum|Old|Fashioned|built|old-fashioned|aged|rum|simple|syrup|Angostura|bitters,-0.2913623052823889,-3.00035691999082
Scotch Old Fashioned,0.307692260355037,0.0576924142011671,0.0,2.6000004,built,old-fashioned,0.2,blended scotch whiskey|honey|Angostura bitters,Scotch|Old|Fashioned|built|old-fashioned|blended|scotch|whiskey|honey|Angostura|bitters,Scotch|Old|Fashioned|built|old-fashioned|blended|scotch|whiskey|honey|Angostura|bitters,0.9777857291261327,-2.493816424943246
Pink Gin,0.307692307692308,0.0,0.0,2.6,stirred,coupe,0.3,gin|Angostura bitters,Pink|Gin|stirred|coupe|gin|Angostura|bitters,Pink|Gin|stirred|coupe|gin|Angostura|bitters,0.749836233765119,0.4349256161919903
Rusty Nail,0.307692307692308,0.0461538461538461,0.0,3.25,stirred,old-fashioned,0.3,blended scotch whiskey|Drambuie|lemon peel,Rusty|Nail|stirred|old-fashioned|blended|scotch|whiskey|Drambuie|lemon|peel,Rusty|Nail|stirred|old-fashioned|blended|scotch|whiskey|Drambuie|lemon|peel,0.5081968237555056,-0.5892330641881227
Widow's Kiss,0.307692307692308,0.0428461538461538,0.0,3.25,stirred,coupe,0.3,apple brandy|Benedictine|Yellow Chartreuse|Angostura bitters,Widow's|Kiss|stirred|coupe|apple|brandy|Benedictine|Yellow|Chartreuse|Angostura|bitters,Widow's|Kiss|stirred|coupe|apple|brandy|Benedictine|Yellow|Chartreuse|Angostura|bitters,0.8265759224720695,0.16737521312974568
Alaska Cocktail,0.307692307692308,0.08,0.0,2.925,stirred,coupe,0.3,gin|Yellow Chartreuse|orange bitters|lemon twist,Alaska|Cocktail|stirred|coupe|gin|Yellow|Chartreuse|orange|bitters|lemon|twist,Alaska|Cocktail|stirred|coupe|gin|Yellow|Chartreuse|orange|bitters|lemon|twist,1.030966702787833,1.07817714321351
Old Fashioned,0.326923026627227,0.0394231497041308,0.0,2.6000004,built,old-fashioned,0.2,rye whiskey|simple syrup|Angostura bitters|orange peel,Old|Fashioned|built|old-fashioned|rye|whiskey|simple|syrup|Angostura|bitters|orange|peel,Old|Fashioned|built|old-fashioned|rye|whiskey|simple|syrup|Angostura|bitters|orange|peel,0.6408171620785952,-2.678655896188248
