grassNum,grassEn,grassRe,grassFa,wolfNum,wolfEn,wolfRe,wolfFa,rabbitNum,rabbitEn,rabbitRe,rabbitFa
23,96.1,127.2,0.7,15,163.4,330.4,29.8,107,31.5,61.6,6.4
28,92.2,128.1,0.7,15,144.9,330.4,29.8,106,29.2,61.5,6.4
35,89.5,126.9,0.9,14,149.1,329.8,29.7,94,30.9,61.4,6.3
29,92.3,126.8,0.9,14,136.5,329.8,29.7,89,35.3,61.9,6.1
21,89.3,126.1,1.2,14,126.9,329.8,29.7,86,39.4,61.7,6.1
19,86.9,126.6,1.4,14,117.2,329.8,29.7,84,39.5,61.6,5.9
19,90.3,131.5,1.1,13,120.2,329.6,29.7,81,37.4,61.5,5.9
23,90.6,128.7,0.7,10,153.2,329.7,29.8,78,38.8,61.5,5.9
26,79.7,129.7,0.4,9,173.2,329.9,29.6,78,42.1,61.9,6.0
27,86.1,128.6,0.2,9,175.9,329.9,29.6,84,38.4,62.1,6.0
26,85.5,129.6,0.4,9,199.0,330.0,29.6,82,38.4,61.8,6.2
23,95.1,129.9,0.4,10,207.3,330.0,29.8,77,33.5,61.8,6.2
27,93.2,129.5,0.6,11,208.8,330.0,29.4,73,34.8,62.0,6.1
37,92.0,129.7,0.4,12,193.3,330.1,29.3,73,32.1,61.4,6.1
45,87.1,129.4,0.6,12,188.9,330.1,29.3,67,33.7,61.5,6.0
48,88.7,128.8,0.7,12,196.6,330.1,29.3,61,34.4,61.1,6.0
48,94.4,129.6,0.9,12,206.3,330.4,29.0,62,35.6,60.9,6.0
52,95.1,129.5,1.1,13,197.6,330.4,29.0,55,37.9,60.8,5.9
63,95.3,130.7,1.2,14,178.5,330.4,29.1,58,33.4,60.5,5.7
71,97.4,130.7,1.2,13,177.6,330.4,29.2,62,33.8,60.3,5.7
71,103.9,129.8,1.1,14,178.3,330.5,29.2,58,36.2,59.8,5.7
72,105.4,130.1,1.2,14,179.2,330.5,29.2,55,39.5,60.0,5.7
77,104.5,129.8,1.2,14,173.7,330.5,29.2,57,39.1,59.9,5.7
73,104.5,130.9,1.3,14,173.3,330.5,29.3,63,42.8,59.7,5.7
64,110.6,131.7,1.2,14,159.5,330.5,29.3,75,42.9,59.8,5.8
68,99.7,132.9,1.3,12,179.5,330.4,29.5,81,46.2,59.6,5.8
56,109.8,132.6,1.3,11,181.9,330.4,29.6,95,46.5,60.0,5.9
52,106.4,132.5,1.5,11,188.8,330.4,29.6,103,44.6,59.7,5.8
50,103.4,132.5,1.7,12,182.5,330.3,29.8,104,46.4,59.4,5.9
49,106.0,131.9,1.8,12,178.7,330.3,29.8,109,44.7,59.0,5.8
50,101.3,132.2,1.7,12,175.4,330.2,29.8,116,41.6,58.8,5.8
44,104.2,132.0,1.6,12,172.8,330.2,29.8,119,41.4,58.2,5.7
49,98.5,130.9,1.7,13,165.2,330.1,29.8,123,41.4,58.0,5.7
34,94.6,130.8,1.8,13,174.1,330.1,29.8,130,42.4,57.5,5.7
19,92.7,129.1,1.8,12,176.6,330.0,29.8,141,41.1,57.1,5.7
16,92.2,133.0,0.9,11,180.9,330.1,29.7,147,38.9,57.0,5.7
16,101.6,133.1,1.0,11,191.2,329.8,29.6,150,36.2,56.8,5.7
19,93.6,131.7,0.5,11,207.7,329.9,29.8,150,34.3,56.3,5.6
24,90.8,131.4,0.0,10,234.6,329.9,29.7,149,31.8,56.1,5.6
19,99.1,131.6,0.3,12,217.5,330.2,29.8,147,31.4,55.9,5.6
22,94.5,133.2,0.7,13,215.3,330.8,29.8,134,31.6,55.8,5.5
20,94.8,134.4,1.0,15,205.9,330.8,30.1,129,30.5,55.8,5.5
13,100.1,132.9,0.8,17,194.8,331.2,30.0,126,31.4,55.8,5.6
23,88.0,129.7,0.2,17,225.5,331.1,30.1,101,30.5,56.1,5.6
25,94.9,128.5,0.4,18,224.8,331.0,30.0,88,30.2,56.4,5.6
33,91.0,130.5,0.6,21,208.4,330.9,30.0,78,30.6,56.3,5.6
33,96.6,128.6,0.5,22,203.1,330.9,30.1,63,29.4,56.3,5.6
34,99.1,130.4,0.6,22,178.6,330.9,30.1,60,32.2,57.3,5.8
40,96.2,129.4,0.5,22,153.7,330.9,30.1,57,38.9,57.5,5.8
