tests,years,firstExt,firstExtSTD,deadWorld,deadWorldSTD,id,wolfEn,wolfRe,wolfFa,rabbitEn,rabbitRe,rabbitFa,wolfNum,rabbitNum,grassNum,debrisNum
1, 500, 187.0, 0.0, 187.0, 0.0, 'JPFASO', 228, 355, 13, 99, 140, 5, 9, 28, 3, 49
1, 500, 160.0, 0.0, 160.0, 0.0, 'GXNRW3', 228, 316, 15, 115, 135, 5, 7, 30, 10, 41
1, 500, 161.0, 0.0, 161.0, 0.0, 'XT0CZU', 241, 310, 14, 115, 138, 5, 7, 29, 9, 40
1, 500, 173.0, 0.0, 173.0, 0.0, 'Y7DJPB', 246, 314, 18, 106, 129, 5, 10, 30, 4, 36
1, 500, 500.0, 0.0, 500.0, 0.0, 'TMIOL6', 234, 340, 11, 93, 136, 5, 11, 36, 3, 43
1, 500, 111.0, 0.0, 111.0, 0.0, 'TJ4ALR', 234, 354, 5, 102, 137, 5, 15, 24, 7, 44
1, 500, 500.0, 0.0, 500.0, 0.0, '7RJADC', 246, 338, 10, 101, 148, 5, 18, 30, 10, 38
1, 500, 500.0, 0.0, 500.0, 0.0, '17CDLV', 242, 335, 14, 90, 137, 5, 10, 29, 8, 47
1, 500, 500.0, 0.0, 500.0, 0.0, 'UMYGL3', 240, 343, 16, 92, 106, 6, 10, 30, 3, 46
1, 500, 500.0, 0.0, 500.0, 0.0, 'IG9FDZ', 249, 359, 14, 84, 99, 5, 9, 30, 7, 47
1, 500, 254.0, 0.0, 254.0, 0.0, '2R3FJP', 234, 349, 11, 87, 109, 5, 11, 31, 13, 40
1, 500, 500.0, 0.0, 500.0, 0.0, 'SH803R', 240, 338, 17, 78, 105, 6, 9, 30, 6, 32
1, 500, 500.0, 0.0, 500.0, 0.0, 'MRX4BJ', 239, 341, 13, 78, 115, 5, 12, 32, 12, 40
1, 500, 500.0, 0.0, 500.0, 0.0, 'ZSIP8O', 245, 351, 14, 84, 115, 5, 12, 31, 4, 42
1, 500, 500.0, 0.0, 500.0, 0.0, 'CRSY8O', 249, 352, 10, 80, 103, 5, 12, 33, 12, 41
1, 500, 500.0, 0.0, 500.0, 0.0, '0A6K5U', 235, 340, 15, 85, 98, 5, 8, 31, 8, 41
1, 500, 500.0, 0.0, 500.0, 0.0, 'DFM82K', 248, 336, 16, 82, 90, 5, 11, 32, 11, 29
1, 500, 87.0, 0.0, 87.0, 0.0, 'LF6I2I', 238, 338, 17, 82, 104, 5, 15, 30, 8, 36
1, 500, 364.0, 0.0, 364.0, 0.0, 'P0G8B7', 253, 356, 13, 96, 110, 5, 14, 31, 2, 30
1, 500, 500.0, 0.0, 500.0, 0.0, 'XDSY9H', 263, 347, 10, 96, 111, 6, 17, 33, 5, 32
1, 500, 178.0, 0.0, 178.0, 0.0, 'JBC8SE', 255, 344, 17, 99, 108, 5, 13, 31, 12, 44
1, 500, 500.0, 0.0, 500.0, 0.0, 'G4HCAD', 253, 335, 18, 87, 117, 5, 9, 31, 5, 38
1, 500, 239.0, 0.0, 239.0, 0.0, '43E1PS', 252, 342, 17, 95, 113, 5, 6, 34, 6, 37
1, 500, 500.0, 0.0, 500.0, 0.0, 'G1N5NC', 264, 335, 18, 82, 111, 5, 9, 32, 3, 32
1, 500, 28.0, 0.0, 28.0, 0.0, 'WBLQJA', 264, 350, 19, 82, 119, 5, 11, 31, 8, 31
1, 500, 500.0, 0.0, 500.0, 0.0, 'D0IBQZ', 253, 346, 11, 83, 110, 5, 15, 23, 8, 38
1, 500, 500.0, 0.0, 500.0, 0.0, '13VJTH', 259, 347, 14, 85, 136, 5, 15, 29, 12, 47
1, 500, 19.0, 0.0, 19.0, 0.0, 'MKS6QV', 265, 343, 12, 83, 130, 5, 17, 34, 12, 42
1, 500, 500.0, 0.0, 500.0, 0.0, 'D68AVV', 259, 352, 14, 88, 111, 5, 15, 33, 4, 44
1, 500, 500.0, 0.0, 500.0, 0.0, '3HV631', 248, 351, 12, 86, 121, 5, 13, 31, 8, 49
1, 500, 283.0, 0.0, 283.0, 0.0, 'M8P16H', 237, 336, 16, 88, 131, 5, 11, 29, 4, 43
1, 500, 166.0, 0.0, 166.0, 0.0, 'NH4UOX', 239, 333, 10, 78, 131, 5, 10, 32, 10, 36
1, 500, 47.0, 0.0, 47.0, 0.0, 'R7NYH7', 239, 335, 15, 67, 133, 5, 10, 31, 9, 42
1, 500, 24.0, 0.0, 24.0, 0.0, '13G373', 236, 346, 12, 83, 136, 5, 14, 30, 14, 40
1, 500, 423.0, 0.0, 423.0, 0.0, 'LLSJPK', 254, 360, 13, 89, 112, 5, 11, 31, 13, 34
1, 500, 273.0, 0.0, 273.0, 0.0, 'PX3LDT', 250, 359, 15, 83, 117, 5, 12, 29, 12, 34
1, 500, 500.0, 0.0, 500.0, 0.0, '41IO7Q', 246, 345, 18, 84, 102, 6, 8, 27, 11, 34
1, 500, 39.0, 0.0, 39.0, 0.0, '53HQRD', 246, 339, 18, 90, 99, 6, 9, 27, 13, 48
1, 500, 500.0, 0.0, 500.0, 0.0, 'MYLYOH', 266, 346, 13, 98, 107, 5, 10, 33, 8, 35
1, 500, 118.0, 0.0, 118.0, 0.0, 'F2XOCE', 265, 342, 10, 92, 106, 6, 8, 33, 4, 34
1, 500, 130.0, 0.0, 130.0, 0.0, 'FQWVKR', 270, 346, 11, 102, 112, 6, 8, 33, 10, 34
1, 500, 89.0, 0.0, 89.0, 0.0, 'CXPEAB', 262, 337, 14, 94, 107, 5, 6, 24, 12, 28
1, 500, 219.0, 0.0, 219.0, 0.0, 'PPGCV3', 265, 339, 13, 78, 96, 5, 7, 24, 11, 48
1, 500, 297.0, 0.0, 297.0, 0.0, 'L8YK0E', 245, 343, 11, 88, 100, 5, 6, 30, 11, 55
1, 500, 139.0, 0.0, 139.0, 0.0, 'A54E41', 245, 366, 11, 88, 97, 5, 11, 33, 5, 43
1, 500, 81.0, 0.0, 81.0, 0.0, 'MDJD2J', 248, 353, 13, 92, 102, 5, 13, 32, 4, 46
1, 500, 500.0, 0.0, 500.0, 0.0, 'RQ35Q6', 217, 348, 10, 97, 111, 5, 15, 30, 8, 36
1, 500, 500.0, 0.0, 500.0, 0.0, 'F31ZAX', 225, 343, 5, 96, 115, 5, 18, 31, 2, 41
1, 500, 500.0, 0.0, 500.0, 0.0, 'J8RJF0', 228, 343, 5, 91, 124, 5, 21, 31, 6, 38
1, 500, 500.0, 0.0, 500.0, 0.0, '9HUJYK', 239, 342, 5, 86, 120, 5, 19, 27, 7, 40
1, 500, 173.0, 0.0, 173.0, 0.0, 'N12HCN', 234, 342, 12, 87, 122, 5, 17, 28, 6, 46
